packet_counter,encrypt_time_ns,encrypt_time_us
1437,85653,85.653
1438,278097,278.097
1439,73053,73.053
1440,87505,87.505
1441,77589,77.589
1442,87873,87.873
1443,78613,78.613
1444,64240,64.24
1445,101833,101.833
1446,88099,88.099
1447,213754,213.754
1448,76689,76.689
1449,68462,68.462
1450,109461,109.461
1451,93899,93.899
1452,110170,110.17
1453,70734,70.734
1454,73862,73.862
1455,396978,396.978
1456,119309,119.309
1457,109422,109.422
1458,80045,80.045
1459,75006,75.006
1460,95422,95.422
1461,174319,174.319
1462,82069,82.069
1463,80940,80.94
1464,256621,256.621
1465,103156,103.156
1466,89181,89.181
1467,65941,65.941
1468,55911,55.911
1469,58340,58.34
1470,60232,60.232
1471,78264,78.264
1472,102614,102.614
1473,91434,91.434
1474,81188,81.188
1475,369297,369.297
1476,64281,64.281
1477,85118,85.118
1478,179917,179.917
1479,215520,215.52
1480,83114,83.114
1481,139205,139.205
